"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Pseudomonadota","Alphaproteobacteria","Gluconobacter oxydans H24","goh",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudogemmobacter blasticus 28/5","rbl",2,233,233
"Pseudomonadota","Alphaproteobacteria","Variibacter gotjawalensis GJW-30","vgo",1,233,233
"Pseudomonadota","Alphaproteobacteria","Acidiphilium multivorum AIU301","amv",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Fokinia solitaria Rio ETE_ALG 3VII, endosymbiont of Paramecium sp. Rio ETE_ALG 3VII","fso",0,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodoplanes sp. Z2-YC6860","rhz",1,233,233
"Pseudomonadota","Alphaproteobacteria","Bartonella apis BBC0122","bapi",1,233,233
"Pseudomonadota","Alphaproteobacteria","Chelatococcus sp. CO-6","chel",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodospirillum rubrum ATCC 11170","rru",1,233,233
"Pseudomonadota","Alphaproteobacteria","Defluviicoccus vanus Ben 114","dvn",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudooceanicola spongiae HQ09 (Pseudopuniceibacterium antarcticum HQ09)","pshq",0,233,233
"Pseudomonadota","Alphaproteobacteria","Oricola thermophila MEBiC13590","orm",1,233,233
"Pseudomonadota","Alphaproteobacteria","Maritalea myrionectae HL2708#5","mmyr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Qipengyuania flava VG1","efv",1,233,233
"Pseudomonadota","Alphaproteobacteria","Paroceanicella profunda D4M1","ppru",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pukyongiella litopenaei SH-1","thas",0,233,233
"Pseudomonadota","Alphaproteobacteria","Sphingorhabdus sp. YGSMI21","sphy",1,233,233
"Pseudomonadota","Alphaproteobacteria","Parasphingopyxis algicola JCM 31719","palg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Parasphingorhabdus cellanae JHSY0214","parj",1,233,233
"Pseudomonadota","Alphaproteobacteria","Paremcibacter congregatus ZYLT (Emcibacter congregatus ZYLT)","ecog",1,233,233
"Pseudomonadota","Alphaproteobacteria","Kozakia baliensis DSM 14400","kba",0,233,233
"Pseudomonadota","Alphaproteobacteria","Hartmannibacter diazotrophicus E19T","hdi",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudovibrio sp. FO-BEG1","psf",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Hydrogenosomobacter endosymbioticus 200920","hec",0,233,233
"Pseudomonadota","Alphaproteobacteria","Liberibacter crescens BT-1","lcc",0,233,233
"Pseudomonadota","Alphaproteobacteria","Sphingobium sp. TKS","spht",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudorhizobium flavum YW14 (Rhizobium flavum YW14)","rfv",1,233,233
"Pseudomonadota","Alphaproteobacteria","Croceibacterium atlanticum 26DY36 (Altererythrobacter atlanticus 26DY36)","aay",1,233,233
"Pseudomonadota","Alphaproteobacteria","Sinorhizobium meliloti 1021, endosymbiont of Medicago sativa and Medicago truncatula","sme",2,233,233
"Pseudomonadota","Alphaproteobacteria","Tistrella mobilis KA081020-065","tmo",1,233,233
"Pseudomonadota","Alphaproteobacteria","Parvibaculum lavamentivorans DS-1","pla",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacter ubique HTCC1062","pub",0,233,233
"Pseudomonadota","Alphaproteobacteria","Skermanella cutis TT6","skt",1,233,233
"Pseudomonadota","Alphaproteobacteria","Tardiphaga robiniae 581","trb",1,233,233
"Pseudomonadota","Alphaproteobacteria","Stella vacuolata ATCC 43931","svc",1,233,233
"Pseudomonadota","Alphaproteobacteria","Frigidibacter mobilis cai42 (Defluviimonas alba cai42)","daa",4,233,233
"Pseudomonadota","Alphaproteobacteria","Sandaracinobacteroides saxicola M6","sand",1,233,233
"Pseudomonadota","Alphaproteobacteria","Dinoroseobacter shibae DFL 12 = DSM 16493","dsh",1,233,233
"Pseudomonadota","Alphaproteobacteria","Blastochloris tepida GI","blag",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Midichloria mitochondrii IricVA, endosymbiont of Ixodes ricinus (castor bean tick)","mmn",1,233,233
"Pseudomonadota","Alphaproteobacteria","Polymorphobacter sp. PAMC 29334","poq",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudorhodoplanes sinuspersici RIPI110","psin",1,233,233
"Pseudomonadota","Alphaproteobacteria","Terrihabitans soli IZ6","tso",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodovulum sulfidophilum DSM 2351","rsu",1,233,233
"Pseudomonadota","Alphaproteobacteria","Aquibium oceanicum B7 (Mesorhizobium sp. B7)","meso",1,233,233
"Pseudomonadota","Alphaproteobacteria","Salipiger sp. CCB-MM3 (Yangia sp. CCB-MM3)","yan",1,233,233
"Pseudomonadota","Alphaproteobacteria","Thalassospira marina CSC3H3","thac",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseibium aggregatum RMAR6-6","lagg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Glycocaulis alkaliphilus 6B-8","gak",1,233,233
"Pseudomonadota","Alphaproteobacteria","Actibacterium sp. EMB200-NS6","con",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pikeienuella piscinae RR4-56","hdh",1,233,233
"Pseudomonadota","Alphaproteobacteria","Gluconacetobacter diazotrophicus PA1 5 (Brazil)","gdi",2,233,233
"Pseudomonadota","Alphaproteobacteria","Hankyongella ginsenosidimutans W1-2-3","hgn",1,233,233
"Pseudomonadota","Alphaproteobacteria","Mameliella alba KU6B","malu",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pelagibacterium halotolerans B2","phl",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseovarius indicus DSM 26383","rid",0,233,233
"Pseudomonadota","Alphaproteobacteria","Phyllobacterium zundukense Tri-48","pht",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Endolissoclinum faulkneri L2","thal",0,233,233
"Pseudomonadota","Alphaproteobacteria","Labrys sp. KNU-23","lne",1,233,233
"Pseudomonadota","Alphaproteobacteria","Methylorubrum extorquens AM1","mea",1,233,233
"Pseudomonadota","Alphaproteobacteria","Marinovum algicola DG 898","malg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudohalocynthiibacter aestuariivivens RR4-35","paed",0,233,233
"Pseudomonadota","Alphaproteobacteria","Ruegeria sp. THAF33","rut",0,233,233
"Pseudomonadota","Alphaproteobacteria","Tritonibacter mobilis F1926","rmb",0,233,233
"Pseudomonadota","Alphaproteobacteria","Roseinatronobacter bogoriensis subsp. barguzinensis alga05 (Rhodobaca barguzinensis alga05)","rbg",0,233,233
"Pseudomonadota","Alphaproteobacteria","Ketogulonicigenium vulgare Y25","kvu",0,233,233
"Pseudomonadota","Alphaproteobacteria","Pelagovum pacificum SM1903","ppaf",0,233,233
"Pseudomonadota","Alphaproteobacteria","Celeribacter indicus P73","cid",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rickettsia sp. MEAM1 (Bemisia tabaci)","ric",0,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudorhodobacter turbinis S12M18","pseb",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pleomorphomonas sp. SM30","pleo",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Filomicrobium marinum W","fil",1,233,233
"Pseudomonadota","Alphaproteobacteria","Ochrobactrum quorumnocens A44 (Ochrobactrum sp. A44)","och",2,233,233
"Pseudomonadota","Alphaproteobacteria","Citromicrobium sp. JL477","cij",1,233,233
"Pseudomonadota","Alphaproteobacteria","Yoonia vestfoldensis SMR4r","lvs",1,233,233
"Pseudomonadota","Alphaproteobacteria","Chenggangzhangella methanolivorans CHL1","cmet",1,233,233
"Pseudomonadota","Alphaproteobacteria","Martelella mediterranea DSM 17316 MACL11","mmed",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodopseudomonas palustris CGA009","rpa",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseicyclus elongatus DSM 19469 (Roseibacterium elongatum DSM 19469)","red",0,233,233
"Pseudomonadota","Alphaproteobacteria","Swingsia samuiensis AH83","ssam",0,233,233
"Pseudomonadota","Alphaproteobacteria","Methyloceanibacter caenitepidi Gela4","mcg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Thalassovita gelatinovora NEB572","tgl",1,233,233
"Pseudomonadota","Alphaproteobacteria","Wolbachia pipientis wAlbB, endosymbiont of Aedes albopictus (mosquito)","wpp",0,233,233
"Pseudomonadota","Alphaproteobacteria","Sphingosinithalassobacter tenebrarum zrk23","spzr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Lichenihabitans sp. PAMC28606","liz",1,233,233
"Pseudomonadota","Alphaproteobacteria","Paraurantiacibacter namhicola JCM 16345","anh",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Paracaedimonas acanthamoebae 30173","caq",0,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodophyticola sp. CCM32","boo",0,233,233
"Pseudomonadota","Alphaproteobacteria","Pacificitalea manganoxidans DY25","cmag",0,233,233
"Pseudomonadota","Alphaproteobacteria","Maricaulis maris MCS10","mmr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Paradevosia tibetensis fig4 (Youhaiella tibetensis fig4)","yti",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pontivivens ytuae MT2928","poz",1,233,233
"Pseudomonadota","Alphaproteobacteria","Sphingosinicella sp. BN140058","sphs",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseivivax sp. THAF197b","rot",0,233,233
"Pseudomonadota","Alphaproteobacteria","Aurantimonas sp. HBX-1","aub",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pelagerythrobacter marensis KCTC 22370","amx",1,233,233
"Pseudomonadota","Alphaproteobacteria","Azorhizobium caulinodans ORS 571","azc",1,233,233
"Pseudomonadota","Alphaproteobacteria","Phreatobacter stygius KCTC 52518","pstg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Breoghania sp. L-A4","brn",1,233,233
"Pseudomonadota","Alphaproteobacteria","Erythrobacter sp. KY5","erk",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pyruvatibacter mobilis CGMCC 1.15125","pmob",1,233,233
"Pseudomonadota","Alphaproteobacteria","Chelativorans sp. BNC1","mes",2,233,233
"Pseudomonadota","Alphaproteobacteria","Anaplasma marginale Florida","amf",0,233,233
"Pseudomonadota","Alphaproteobacteria","Stappia indica PHM037","siw",1,233,233
"Pseudomonadota","Alphaproteobacteria","Haematospirillum jordaniae H5569","hjo",1,233,233
"Pseudomonadota","Alphaproteobacteria","Palleronia sp. THAF1","maru",0,233,233
"Pseudomonadota","Alphaproteobacteria","Ferrovibrio terrae K5","fer",1,233,233
"Pseudomonadota","Alphaproteobacteria","Blastomonas sp. RAC04","blas",1,233,233
"Pseudomonadota","Alphaproteobacteria","Orientia tsutsugamushi Ikeda","ott",0,233,233
"Pseudomonadota","Alphaproteobacteria","Kaustia mangrovi R1DC25","kmn",1,233,233
"Pseudomonadota","Alphaproteobacteria","Tardibacter chloracetimidivorans JJ-A5","sphj",1,233,233
"Pseudomonadota","Alphaproteobacteria","Shinella sp. HZN7","shz",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Nucleicultrix amoebiphila FS5","naf",1,233,233
"Pseudomonadota","Alphaproteobacteria","Nordella sp. HKS 07","noh",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pararhodospirillum photometricum DSM 122 (Rhodospirillum photometricum DSM 122)","rpm",1,233,233
"Pseudomonadota","Alphaproteobacteria","Bombella sp. ESL0368","bob",0,233,233
"Pseudomonadota","Alphaproteobacteria","Altererythrobacter sp. B11","alb",1,233,233
"Pseudomonadota","Alphaproteobacteria","Aureimonas sp. AU20","aua",1,233,233
"Pseudomonadota","Alphaproteobacteria","Marivivens sp. JLT3646","don",0,233,233
"Pseudomonadota","Alphaproteobacteria","Parasedimentitalea marina W43","sedi",0,233,233
"Pseudomonadota","Alphaproteobacteria","Oecophyllibacter saccharovorans Ha5","neh",0,233,233
"Pseudomonadota","Alphaproteobacteria","Methylobacterium nodulans ORS 2060","mno",2,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodospirillum centenum SW","rce",1,233,233
"Pseudomonadota","Alphaproteobacteria","Antarctobacter heliothermus SMS3","aht",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillum marinum IMCC1322","apb",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Hodgkinia cicadicola TETULN","hct",0,233,233
"Pseudomonadota","Alphaproteobacteria","Terricaulis silvestris 0127_4","tsv",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseomonas gilardii U14-5","rgi",1,233,233
"Pseudomonadota","Alphaproteobacteria","Ochrobactrum sp. MT180101","ocr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Sphingopyxis macrogoltabida 203","smaz",1,233,233
"Pseudomonadota","Alphaproteobacteria","Asaia bogorensis NBRC 16594","abg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Methylocella tundrae T4","mtun",0,233,233
"Pseudomonadota","Alphaproteobacteria","Microvirga ossetica V5/3M","moc",1,233,233
"Pseudomonadota","Alphaproteobacteria","Tsuneonella dongtanensis KCTC 22672 (Altererythrobacter dongtanensis KCTC 22672)","ado",1,233,233
"Pseudomonadota","Alphaproteobacteria","Tabrizicola piscis K13M18","taw",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodoblastus sp. SSC7","rhj",1,233,233
"Pseudomonadota","Alphaproteobacteria","Devosia sp. H5989","deq",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pannonibacter phragmitetus 31801","pphr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Magnetospira sp. QH-2","magq",1,233,233
"Pseudomonadota","Alphaproteobacteria","Lichenicola cladoniae PAMC 26569","lck",1,233,233
"Pseudomonadota","Alphaproteobacteria","Haematobacter massiliensis OT1","hml",1,233,233
"Pseudomonadota","Alphaproteobacteria","Sulfitobacter sp. SK012","sulz",0,233,233
"Pseudomonadota","Alphaproteobacteria","Phaeobacter gallaeciensis DSM 26640","pgd",1,233,233
"Pseudomonadota","Alphaproteobacteria","Afipia carboxidovorans OM5 (Goettingen) (Oligotropha carboxidovorans OM5)","ocg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Bradyrhizobium diazoefficiens USDA 110, endosymbiont of Glycine max (soybean) (Bradyrhizobium japonicum USDA110)","bja",2,233,233
"Pseudomonadota","Alphaproteobacteria","Caulobacter vibrioides CB15 (Caulobacter crescentus CB15)","ccr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Bosea sp. F3-2","bof",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rhizobium johnstonii 3841 (Rhizobium leguminosarum bv. viciae 3841)","rle",1,233,233
"Pseudomonadota","Alphaproteobacteria","Aurantiacibacter atlanticus s21-N3","ery",1,233,233
"Pseudomonadota","Alphaproteobacteria","Hoeflea sp. IMCC20628","hoe",1,233,233
"Pseudomonadota","Alphaproteobacteria","Entomobacter blattae G55GP","ebla",0,233,233
"Pseudomonadota","Alphaproteobacteria","Cognatishimia activa ECT2AJA-044","cact",0,233,233
"Pseudomonadota","Alphaproteobacteria","Alloyangia pacifica YSBP01","ypac",0,233,233
"Pseudomonadota","Alphaproteobacteria","Leisingera sp. NJS204","lej",0,233,233
"Pseudomonadota","Alphaproteobacteria","Asticcacaulis excentricus CB 48","aex",1,233,233
"Pseudomonadota","Alphaproteobacteria","Novacetimonas hansenii C110","kha",0,233,233
"Pseudomonadota","Alphaproteobacteria","Labrenzia sp. THAF35","labt",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Odyssella acanthamoebae PRA3 (Candidatus Paracaedibacter acanthamoebae PRA3)","paca",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Megaera endosymbiont of Mesostigma viride (Candidatus Megaira endosymbiont of Mesostigma viride)","menm",0,233,233
"Pseudomonadota","Alphaproteobacteria","Elioraea tepida MS-P2","elio",1,233,233
"Pseudomonadota","Alphaproteobacteria","Neoasaia chiangmaiensis NBRC 101099","nch",1,233,233
"Pseudomonadota","Alphaproteobacteria","Kaistia sp. 32K","kai",1,233,233
"Pseudomonadota","Alphaproteobacteria","Nitratireductor mangrovi SY7","niy",1,233,233
"Pseudomonadota","Alphaproteobacteria","Sagittula sp. P11","sagu",1,233,233
"Pseudomonadota","Alphaproteobacteria","Caenibius tardaugens NBRC 16725 (Novosphingobium tardaugens NBRC 16725)","ntd",1,233,233
"Pseudomonadota","Alphaproteobacteria","Nitrospirillum viridazoti CBAmC (Nitrospirillum amazonense CBAmC)","nao",1,233,233
"Pseudomonadota","Alphaproteobacteria","Ancylobacter pratisalsi DSM 102029","apra",1,233,233
"Pseudomonadota","Alphaproteobacteria","Thalassococcus sp. S3","thaa",0,233,233
"Pseudomonadota","Alphaproteobacteria","Aestuarium zhoushanense G7 (Rhodobacteraceae bacterium G7)","rbz",0,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudooceanicola algae Lw-13e","palw",0,233,233
"Pseudomonadota","Alphaproteobacteria","Rhizobium leguminosarum bv. trifolii WSM1689, endosymbiont of Trifolium uniflorum","rlb",1,233,233
"Pseudomonadota","Alphaproteobacteria","Croceicoccus marinus E4A9","cman",1,233,233
"Pseudomonadota","Alphaproteobacteria","Neokomagataea tanensis AH13 = NBRC 106556","ntn",0,233,233
"Pseudomonadota","Alphaproteobacteria","Zymomonas mobilis subsp. mobilis NCIMB 11163","zmn",1,233,233
"Pseudomonadota","Alphaproteobacteria","Methyloligella sp. GL2","metg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Granulibacter bethesdensis CGDNIH4","gbs",1,233,233
"Pseudomonadota","Alphaproteobacteria","Methylovirgula ligni BW863","mlg",1,233,233
"Pseudomonadota","Alphaproteobacteria","Methylosinus trichosporium OB3b","mtw",1,233,233
"Pseudomonadota","Alphaproteobacteria","Starkeya sp. ORNL1","star",1,233,233
"Pseudomonadota","Gammaproteobacteria","Sulfuricaulis limicola HA5","slim",1,279,279
"Pseudomonadota","Gammaproteobacteria","Salinivibrio sp. YCSC6","saly",1,279,279
"Pseudomonadota","Gammaproteobacteria","Alteromonas sp. RKMC-009","alr",1,279,279
"Pseudomonadota","Gammaproteobacteria","Oceanisphaera profunda SM1222","opf",1,279,279
"Pseudomonadota","Gammaproteobacteria","Chania multitudinisentens RB-25","sfo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Phytobacter ursingii CAV1151","kin",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Pseudothioglobus singularis PS1 (Candidatus Thioglobus singularis PS1)","tsn",0,279,279
"Pseudomonadota","Gammaproteobacteria","Thiocystis violascens DSM 198","tvi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Morganella morganii subsp. morganii KT","mmk",1,279,279
"Pseudomonadota","Gammaproteobacteria","Plesiomonas shigelloides NCTC10360","pshi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thioalkalivibrio nitratireducens DSM 14787","tni",2,279,279
"Pseudomonadota","Gammaproteobacteria","Cronobacter sakazakii ATCC 29544","csj",1,279,279
"Pseudomonadota","Gammaproteobacteria","Ketobacter alkanivorans GI5","kak",1,279,279
"Pseudomonadota","Gammaproteobacteria","Teredinibacter turnerae T7901","ttu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Beggiatoa leptomitoformis D-402","blep",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiohalocapsa sp. PB-PSB1 PB-PSB1-LS01-2011a","thip",1,279,279
"Pseudomonadota","Gammaproteobacteria","Ignatzschineria rhizosphaerae HR5S32","ign",0,279,279
"Pseudomonadota","Gammaproteobacteria","Methylomonas sp. LW13","metl",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thalassotalea sp. HSM 43","tht",1,279,279
"Pseudomonadota","Gammaproteobacteria","Shigella sonnei Ss046","ssn",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pasteurella multocida subsp. multocida 3480","pul",0,279,279
"Pseudomonadota","Gammaproteobacteria","Mixta intestinalis SRCM103226","mint",1,279,279
"Pseudomonadota","Gammaproteobacteria","Vibrio cholerae O1 El Tor N16961","vch",1,279,279
"Pseudomonadota","Gammaproteobacteria","Proteus vulgaris FDAARGOS_366","pvg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Gallibacterium anatis UMN179","gan",0,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Nitrosacidococcus tergens NSCAC1","ntg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Azoamicus ciliaticola, endosymbiont of anaerobic ciliates","acil",0,279,279
"Pseudomonadota","Gammaproteobacteria","Avibacterium volantium NCTC3438","avt",0,279,279
"Pseudomonadota","Gammaproteobacteria","Edwardsiella anguillarum ET080813 (Edwardsiella tarda 080813)","ete",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Tenderia electrophaga NRL1","tee",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudomonas aeruginosa UCBPP-PA14","pau",1,279,279
"Pseudomonadota","Gammaproteobacteria","Solimonas sp. K1W22B-7","sok",2,279,279
"Pseudomonadota","Gammaproteobacteria","Salinimonas sediminis N102","salm",1,279,279
"Pseudomonadota","Gammaproteobacteria","Halioglobus maricola IMCC14385","halc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Thiodictyon syntrophicum Cad16T","tsy",1,279,279
"Pseudomonadota","Gammaproteobacteria","Zhongshania aliphaticivorans SM-2","zal",1,279,279
"Pseudomonadota","Gammaproteobacteria","Shewanella denitrificans OS217","sdn",1,279,279
"Pseudomonadota","Gammaproteobacteria","Dichelobacter nodosus VCS1703A","dno",1,279,279
"Pseudomonadota","Gammaproteobacteria","Cardiobacterium hominis NCTC10426","chj",1,279,279
"Pseudomonadota","Gammaproteobacteria","Alloalcanivorax dieselolei B5 (Alcanivorax dieselolei B5)","adi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Piscirickettsia salmonis LF-89","psal",1,279,279
"Pseudomonadota","Gammaproteobacteria","Shewanella loihica PV-4","slo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Wenzhouxiangella marina KCTC 42284","wma",1,279,279
"Pseudomonadota","Gammaproteobacteria","Methylophaga nitratireducenticrescens JAM1","mej",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pistricoccus aurantiacus CBA4606","paur",1,279,279
"Pseudomonadota","Gammaproteobacteria","Luteibacter rhizovicinus DSM 16549 LJ96T (Luteibacter rhizovicinus LJ96T)","lrz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiothrix litoralis AS","tlo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Frederiksenia canicola HPA 21","fcl",0,279,279
"Pseudomonadota","Gammaproteobacteria","Brenneria goodwinii FRB141","bgj",1,279,279
"Pseudomonadota","Gammaproteobacteria","Methyloprofundus sp. INp10_methR40d","mein",1,279,279
"Pseudomonadota","Gammaproteobacteria","Allochromatium vinosum DSM 180","alv",1,279,279
"Pseudomonadota","Gammaproteobacteria","Steroidobacter denitrificans DSM 18526","sdf",1,279,279
"Pseudomonadota","Gammaproteobacteria","Litorivicinus lipolyticus IMCC 1097 (Litoricola lipolytica IMCC 1097)","llp",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Blochmanniella chromaiodes 640, endosymbiont of Camponotus chromaiodes (red carpenter ant)","bchr",0,279,279
"Pseudomonadota","Gammaproteobacteria","Azotobacter vinelandii DJ","avn",1,279,279
"Pseudomonadota","Gammaproteobacteria","Actinobacillus suis ATCC 33415","ass",0,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Thioglobus sp. NP1","thin",0,279,279
"Pseudomonadota","Gammaproteobacteria","Methylovulum psychrotolerans HV10_M2","mpsy",1,279,279
"Pseudomonadota","Gammaproteobacteria","Leminorella richardii NCTC12151","lri",1,279,279
"Pseudomonadota","Gammaproteobacteria","Celerinatantimonas diazotrophica CEDIAZO1","cdiz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Microbulbifer sp. A4B17","mii",1,279,279
"Pseudomonadota","Gammaproteobacteria","Hahella chejuensis KCTC 2396","hch",1,279,279
"Pseudomonadota","Gammaproteobacteria","Leclercia sp. LSNIH3","leh",1,279,279
"Pseudomonadota","Gammaproteobacteria","Spiribacter curvatus UAH-SP71 (Spiribacter sp. UAH-SP71)","spiu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Salinisphaera sp. LB1","saln",1,279,279
"Pseudomonadota","Gammaproteobacteria","Bacterioplanes sanyensis NV9","bsan",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Moranella endobia PCVAL, endosymbiont of Planococcus citri","meo",0,279,279
"Pseudomonadota","Gammaproteobacteria","Dyella jiangningensis SBZ3-12","dji",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Steffania adelgidicola Ad18-003","sade",0,279,279
"Pseudomonadota","Gammaproteobacteria","Obesumbacterium proteus DSM 2777","opo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Vibrio cholerae O1 O395","vcr",1,279,279
"Pseudomonadota","Gammaproteobacteria","Lacimicrobium alkaliphilum YelD216","lal",1,279,279
"Pseudomonadota","Gammaproteobacteria","Oleiphilus messinensis ME102","ome",1,279,279
"Pseudomonadota","Gammaproteobacteria","Frateuria aurantia DSM 6220","fau",1,279,279
"Pseudomonadota","Gammaproteobacteria","Xanthomonas euvesicatoria pv. vesicatoria 85-10 (Xanthomonas campestris pv. vesicatoria 85-10)","xcv",2,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudohongiella spirulinae KCTC 32221","pspi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Suttonella sp. R2A3","sutr",1,279,279
"Pseudomonadota","Gammaproteobacteria","Sinimarinibacterium sp. NLF-5-8","sini",1,279,279
"Pseudomonadota","Gammaproteobacteria","Spongiibacter nanhainus csc3.9","snan",1,279,279
"Pseudomonadota","Gammaproteobacteria","Acidihalobacter prosperus F5","aprs",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Reidiella endopervernicosa Santa_Monica_outfall","rev",1,279,279
"Pseudomonadota","Gammaproteobacteria","Xenorhabdus nematophila AN6/1","xnm",1,279,279
"Pseudomonadota","Gammaproteobacteria","Oceanimonas sp. GK1","oce",1,279,279
"Pseudomonadota","Gammaproteobacteria","Amphritea japonica ATCC BAA-1530","ajp",1,279,279
"Pseudomonadota","Gammaproteobacteria","Marinomonas sp. MWYL1","mmw",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudomonas syringae pv. tomato DC3000","pst",1,279,279
"Pseudomonadota","Gammaproteobacteria","Francisella halioticida DSM 23729","fha",0,279,279
"Pseudomonadota","Gammaproteobacteria","Shimwellia blattae DSM 4481 = NBRC 105725","ebt",1,279,279
"Pseudomonadota","Gammaproteobacteria","Sedimenticola thiotaurini SIP-G1 (Sedimenticola sp. SIP-G1)","seds",1,279,279
"Pseudomonadota","Gammaproteobacteria","Permianibacter aggregans HW001","pagr",1,279,279
"Pseudomonadota","Gammaproteobacteria","Rahnella aquatilis HX2","raa",1,279,279
"Pseudomonadota","Gammaproteobacteria","Moritella viscosa MVIS1","mvs",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thermomonas brevis KACC 16975","tbv",2,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Fukatsuia symbiotica 5D","fsm",1,279,279
"Pseudomonadota","Gammaproteobacteria","Chromohalobacter israelensis DSM 3043","csa",1,279,279
